Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2020-01-01 11:00,13.19,25.38,98.0,29.77,59.34,96.2,246.4
2020-01-01 10:00,13.19,25.07,97.5,1.957,51.19,82.2,246.2
2020-01-01 09:00,13.18,25.32,98.5,27.46,54.62,80.4,247.8
2020-01-01 08:00,13.17,26.11,100.0,24.46,48.88,85.6,245.8
2020-01-01 07:00,13.17,27.03,100.0,24.67,49.78,84.4,245.1
2020-01-01 06:00,13.16,27.82,100.0,22.22,53.3,86.2,249.6
2020-01-01 05:00,13.16,28.68,100.0,35.57,60.95,102.4,252.3
2020-01-01 04:00,13.15,30.21,100.0,23.13,53.71,87.1,255.6
2020-01-01 03:00,13.15,30.33,100.0,23.9,54.43,92.6,251.3
2020-01-01 02:00,13.15,31.13,100.0,32.28,55.27,91.5,249.3
2020-01-01 01:00,13.15,31.37,100.0,30.05,52.57,80.8,248.4
2020-01-01 00:00,13.15,31.43,100.0,25.5,50.27,85.6,246.5
